file_name,text,origin_value,attri_value
output_images_00025/074284.png,"A person with dark hair wearing a black outfit, with a black bird perched on their head, set against a blurred forest background.",4.78672,0.838665
output_images_00005/042734.png,An alien sitting on a chair inside a vehicle with a view of mountains through the window.,4.964172,0.891695
output_images_00018/183375.png,"A woman sitting at a desk with a computer monitor, writing in a notebook.",4.7587442,0.833025
output_images_00014/139326.png,"A young baseball player wearing a white and red uniform with a cap, standing against a backdrop of fluffy clouds.",4.975657,0.896275
output_images_00025/075167.png,"A futuristic control room with multiple workstations, large windows, and a view of Earth from space.",4.685642,0.821145
output_images_00025/075332.png,"A solitary figure in a long coat stands on a path leading to a church under a full moon, surrounded by misty forest.",4.8932447,0.866335
output_images_00024/068663.png,"A lone figure stands in a rocky, barren landscape with a menacing, horned creature looming in the background under a red, ominous sky.",4.7183294,0.826005
output_images_00009/089273.png,An elderly man wearing a wizard hat holding a birthday cake with lit candles outside a house at dusk.,4.6476145,0.81614
output_images_00011/109281.png,"A demonic figure with a skull face, large horns, red cape, black bodysuit, and clawed hands standing against a neutral background.",4.936356,0.881135
output_images_00014/138441.png,"A black-and-white photo of three musicians performing on stage, with one playing an electric guitar and singing into a microphone.",4.656129,0.817265
output_images_00002/013338.png,"A person working on a laptop at a desk in an office at night, with a view of the city skyline through the window.",4.8395476,0.851105
output_images_00030/122395.png,"A man in a suit walking down a corridor lined with skulls, bathed in red light.",4.5548944,0.807125
output_images_00005/039654.png,Two police officers in uniform standing face to face in an indoor setting.,4.732351,0.828485
output_images_00019/021972.png,"A colorful, textured brain with numerous projections and a central stem.",4.819595,0.846315
output_images_00007/066393.png,"A man wearing glasses and a suit, pointing with both hands.",4.6423025,0.815565
output_images_00029/116510.png,"A woman with long, dark hair wearing a white top and a necklace, standing indoors.",4.8030233,0.842455
output_images_00020/031057.png,A penguin standing against a dark background.,4.6864333,0.821245
output_images_00012/115054.png,"A woman with black wings, wearing a necklace and earrings, standing against a red circular background.",4.970589,0.894385
output_images_00002/012665.png,A large airship flying over a desert landscape with red rock formations and multiple moons in the sky.,4.9303417,0.878935
output_images_00030/119416.png,A person wearing a blue military uniform with gold epaulettes and a high collar.,4.797914,0.841205
output_images_00002/010339.png,"A woman with long black hair wearing ornate jewelry and a dark dress, standing against a backdrop of red wings.",4.782682,0.837775
output_images_00016/161139.png,A woman with long white hair and glowing eyes standing in front of a full moon.,4.9523516,0.887055
output_images_00019/023814.png,A detailed anatomical illustration of a human heart with blue liquid flowing down its surface.,4.6435075,0.815735
output_images_00021/031962.png,"A bald man in a long coat holding a sword, standing in a dark, misty environment.",4.55442,0.807075
output_images_00009/087151.png,A humpback whale swimming underwater with sunlight streaming through the surface.,4.8693705,0.858985
output_images_00005/038672.png,"A person wearing a pink jacket, jeans, and roller skates is skateboarding against a blue sky with clouds.",4.902109,0.869055
output_images_00009/086768.png,"A whimsical landscape featuring a large mushroom house on a hill with a waterfall, surrounded by trees and flowers.",4.953169,0.887325
output_images_00028/100743.png,"A lone figure in a dress stands in front of a large, ancient tree in a misty, eerie landscape.",4.7765718,0.836475
output_images_00029/119257.png,A snowy village at night with illuminated houses and street lamps.,4.979467,0.897805
output_images_00024/072942.png,"A man with large horns smoking a cigar, wearing a gold chain necklace",4.8776975,0.861465
output_images_00004/034753.png,A woman in a yellow dress with white ruffles is sitting on a red chair reading a book.,4.8413444,0.851585
output_images_00019/022681.png,"Two wizards in green robes and pointed hats are facing each other in a misty forest, with one holding a staff.",4.781148,0.837445
output_images_00002/011864.png,A wooden rowboat floating on calm water with a paddle inside.,4.662547,0.817935
output_images_00022/047942.png,"A mysterious figure in a long, flowing robe stands in a misty, ancient temple with columns and an arched doorway.",4.973907,0.895645
output_images_00017/180790.png,A large eye-like structure surrounded by swirling cosmic clouds and stars.,4.6888466,0.821495
output_images_00014/136817.png,"A female doctor with long dark hair wearing a white lab coat and a green scrub top, standing indoors with a stethoscope around her neck.",4.8524637,0.854605
output_images_00004/036140.png,An alien creature with a long head and sharp teeth viewed through a circular window.,4.6301537,0.814245
output_images_00008/083866.png,A person wearing a detailed gold armor standing in front of a throne made of swords.,4.837153,0.850435
output_images_00028/100070.png,"A large, ornate stained glass window with intricate floral and geometric designs, featuring vibrant colors and a central circular motif.",4.7255425,0.827285
output_images_00027/095065.png,"A woman with long, curly hair wearing a traditional dress with intricate patterns and a decorative belt, standing against a backdrop with circular designs.",4.766234,0.834405
output_images_00028/101565.png,"A muscular, blue-skinned demon with large horns, wearing a detailed, ornate outfit.",4.901992,0.868985
output_images_00015/157147.png,A giant turtle with glowing green energy on its back flying over a rocky landscape with two people standing on a rock.,4.890214,0.865435
output_images_00002/013874.png,A human brain floating in space surrounded by stars and planets.,4.957259,0.888945
output_images_00001/005725.png,"A man and a woman stand facing each other in the doorway of a wooden cabin, with a desert landscape visible through the open door.",4.7406178,0.829895
output_images_00028/103640.png,An older man with gray hair and a beard wearing a black jacket stands in front of a floral wallpapered wall.,4.7886662,0.839125
output_images_00029/116049.png,"A cosmic scene featuring a large, swirling black hole with colorful, layered edges, surrounded by planets and stars in a dark, starry background.",4.9457192,0.884535
output_images_00005/041328.png,"A massive, winged octopus-like creature with glowing eyes hovers over a rocky landscape, with a cloaked figure standing below it.",4.9303093,0.878875
output_images_00029/118169.png,"An elderly man with a long beard, wearing a red cloak with fur trim, holding a wooden staff in a forest setting.",4.9701986,0.894205
output_images_00004/037454.png,"A cute, white baby dragon with blue eyes, sitting on a gray surface.",4.927686,0.877765
output_images_00006/043494.png,A surrealistic portrait of a humanoid figure with butterfly wings and intricate internal structures visible through the skin.,4.75234,0.831905
output_images_00027/097603.png,A man in a white shirt holding a large hamburger.,4.904021,0.869695
output_images_00021/045070.png,"A person wearing a dark hooded jacket with gold jewelry and a red pendant, set against a red and gray background with floral patterns.",4.779436,0.837155
output_images_00023/054524.png,"A woman with a flower crown is opening a jar filled with small rocks and an egg, surrounded by flying and standing creatures.",4.886958,0.864495
output_images_00016/162145.png,"A lone figure in a dark cloak stands on a rocky path amidst towering cliffs and mountains, gazing at a vast, otherworldly landscape under a starry sky with a glowing spiral galaxy and a crescent moon.",4.976923,0.896745
output_images_00028/101718.png,A husky dog wearing a leather jacket with a sword on its back.,4.917298,0.874145
output_images_00000/004755.png,A spiral galaxy with glowing clouds and stars in space.,4.928915,0.878245
output_images_00009/087553.png,A dramatic scene of lightning striking the ground in a rocky desert landscape.,4.7787914,0.836955
output_images_00009/086015.png,"A regal figure seated on a throne, wearing elaborate red and gold attire, holding a scepter.",4.982597,0.898995
output_images_00018/186175.png,"A man with short, dark hair and a beard wearing a dark shirt.",4.910113,0.871735
output_images_00000/002156.png,A digital rendering of a bird standing on water near geometric structures.,4.899053,0.868005
output_images_00005/041272.png,A seamless pattern featuring repeating floral motifs with green leaves and beige flowers.,4.684595,0.820975
output_images_00006/043996.png,Five bottles of wine are lined up on a white surface near a window.,4.7892704,0.839305
output_images_00004/036022.png,"A purple dragon-like creature with glowing pink eyes, adorned with gold jewelry and holding a glowing crystal.",4.886159,0.864195
output_images_00010/105837.png,"A mystical castle with multiple spires and towers, illuminated by a full moon, surrounded by tall trees and a waterfall cascading into a serene lake.",4.924574,0.876615
output_images_00015/156076.png,"A person wearing round sunglasses, a black choker, and a red off-shoulder top with ruffles, standing against a colorful background with splashes of paint.",4.956106,0.888435
output_images_00026/080983.png,"A dark, horned demon with large wings, holding two swords against a red background.",4.644475,0.815825
output_images_00021/032362.png,Three men in tuxedos playing poker at a red table in a dimly lit room.,4.7070274,0.823935
output_images_00013/132513.png,"A person with black hair styled in an updo, wearing gold and black body paint on their face and shoulders.",4.6338034,0.814685
output_images_00025/073345.png,A ferret standing on a log in a forest,4.7053614,0.823735
output_images_00019/021895.png,"A woman adorned with intricate gold and turquoise jewelry, including a detailed headdress and earrings, wearing a matching outfit.",4.9014816,0.868715
output_images_00005/041076.png,"A man standing on a city street at night, surrounded by neon lights and other people.",4.876281,0.861085
output_images_00000/002825.png,"An elderly wizard in a dark green robe holding a glowing green staff, standing in a dimly lit, ancient stone corridor.",4.9362,0.881075
output_images_00011/112144.png,A fairy with delicate wings flying in front of a full moon at night.,4.9595556,0.889845
output_images_00008/084157.png,A woman wearing a white dress and high heels standing against a plain background.,4.9501925,0.886135
output_images_00022/050763.png,"A person with dark, messy hair wearing a black jacket and a black turtleneck.",4.826304,0.847945
output_images_00000/001614.png,A transparent raincoat with pink trim hanging on a stand in a well-lit room.,4.68758,0.821385
output_images_00001/007350.png,A spooky graveyard at night with a full moon shining through leafless trees.,4.8841386,0.863655
output_images_00030/119753.png,A girl in a blue dress standing in a dark forest with glowing blue lights behind her.,4.901555,0.868755
output_images_00018/184651.png,"A detailed digital artwork of a monkey with glowing red eyes and intricate patterns on its body, set against a dark background with red bokeh lights.",4.955997,0.888395
output_images_00002/010483.png,A close-up of an orange octopus with tentacles extended.,4.9345374,0.880425
output_images_00004/037971.png,A man in a tuxedo standing in a dimly lit room with smoke around him.,4.942503,0.883435
output_images_00012/113224.png,"A young girl with long, wavy brown hair wearing a golden necklace, earrings, and a lace-trimmed dress.",4.719267,0.826185
output_images_00024/068503.png,"A skull with long, braided hair.",4.5263605,0.804995
output_images_00030/121790.png,A muscular man in a brown outfit standing in front of a wooden frame with chains.,4.507176,0.803475
output_images_00018/184823.png,"A group of hooded figures standing in an abandoned, foggy urban environment.",4.9633527,0.891375
output_images_00025/076091.png,A robotic angel with large wings standing in a field under a clear sky.,4.8739004,0.860315
output_images_00017/182399.png,"A person with long, wavy hair wearing a white lace top.",4.785684,0.838475
output_images_00028/103083.png,A close-up of a human eye with a detailed iris pattern.,4.6494017,0.816385
output_images_00005/040284.png,"A woman dressed in a sailor outfit holding a pair of claws, wearing an eye patch and gloves.",4.7542634,0.83218
output_images_00017/182095.png,A blue whale swimming in a starry underwater environment.,4.6356163,0.814865
output_images_00004/036720.png,"A person wearing a dark hooded cloak with gold trim, featuring intricate black face paint and red eyes, set against a blurred natural background.",4.8314786,0.849065
output_images_00025/074611.png,"A cat dressed as a chef with a white hat and apron, standing with arms crossed.",4.971136,0.894565
output_images_00002/011976.png,A person in a long black cloak standing on a ledge overlooking a cityscape at night with a full moon in the sky.,4.9442534,0.884085
output_images_00013/134757.png,A person wearing a maid outfit standing on a street at night with gas lamps.,4.9712152,0.894595
output_images_00004/034810.png,"A man wearing glasses, a red jacket, a black vest, and a patterned tie.",4.601198,0.811295
output_images_00001/009156.png,A person with blonde hair wearing a black outfit with gold buttons and a red cape.,4.757475,0.832715
output_images_00011/112306.png,"A person wearing a silver mask, dressed in a black suit with white gloves, holding a cane, standing in front of a grand building with columns.",4.9823203,0.898815
output_images_00026/078775.png,A close-up of a face with glowing red eyes and a dark background.,4.4757776,0.801405
output_images_00016/161672.png,A serene sky filled with fluffy pink and blue clouds at sunset.,4.973257,0.895375
output_images_00012/115375.png,"A person with dark hair styled in buns, wearing pink sunglasses, a patterned shirt, and green suspenders.",4.7546673,0.832265
output_images_00005/039176.png,"A person with dark hair styled in buns, wearing a black leather jacket and a choker necklace.",4.9110937,0.872085
output_images_00008/067827.png,A brown horse galloping through a field with red roses.,4.680198,0.820425
output_images_00029/117188.png,"A military vehicle with tracks and a large antenna on top, parked in a desert at sunset.",4.925721,0.877075
output_images_00014/153037.png,A cute otter standing on a tree stump in a forest setting.,4.9668803,0.892855
output_images_00018/184495.png,"A person wearing a dark robe and veil holding an open book with chains attached, standing among ancient stone columns at sunset.",4.9570255,0.888835
output_images_00017/179164.png,A person with dark hair wearing an orange jacket against a textured background.,4.9827085,0.899035
output_images_00010/091559.png,A fluffy creature hugging a Dalek robot in a forest setting.,4.949271,0.88569
output_images_00030/121537.png,"A futuristic room with a large, red, spherical structure with two protruding spheres on top, surrounded by people working on computers.",4.5481105,0.806625
output_images_00018/185691.png,A cozy pub at night with warm lights and a starry sky.,4.881421,0.862675
output_images_00002/012724.png,A futuristic robot with glowing red eyes and intricate mechanical details against a pink background.,4.7786126,0.836895
output_images_00004/034349.png,A man wearing a jacket with an American flag patch looking up at the night sky filled with stars and clouds.,4.876151,0.861005
output_images_00008/083267.png,A man sitting alone at a table in a dimly lit room with a single lightbulb hanging above.,4.8397098,0.851155
output_images_00005/038428.png,"A purple octopus inside a glass bottle with a cork stopper, placed on a wooden table.",4.963928,0.891595
output_images_00013/133226.png,"A futuristic character with short black hair wearing a high-tech collar and shoulder pads, set against a neon-lit background.",4.9668684,0.892845
output_images_00023/055525.png,"A person with long hair and a dark top, with smoke rising from their mouth against a dark background.",4.6911716,0.821835
output_images_00022/047758.png,Two vibrant orange and red flowers with large green leaves in a clear glass vase on a dark surface against a dark background.,4.7477007,0.831145
output_images_00027/097318.png,"A serene mountain landscape at dusk with a starry sky and a galaxy visible above, featuring a calm lake surrounded by snow-capped peaks and evergreen trees.",4.9759865,0.896395
output_images_00001/009596.png,A person with long dark hair wearing a black top against a dark background.,4.6293273,0.814175
output_images_00020/031664.png,"A woman wearing a crown and a brown lace outfit, sitting on a stool against a textured background.",4.677925,0.820125
output_images_00026/092464.png,Two black horses with white markings on their faces standing close to each other.,4.8892236,0.865075
output_images_00006/057709.png,"A person standing in a narrow bathroom corridor with teal tiles, facing a sink and toilet.",4.617007,0.812925
output_images_00002/014232.png,An astronaut sitting by a campfire near a river under a full moon and starry sky.,4.5597267,0.807485
output_images_00022/051677.png,"A person with long, wavy brown hair wearing a black jacket with a hood.",4.886361,0.864265
output_images_00027/097463.png,"A detailed anatomical illustration of a humanoid figure with mechanical components and a snake, displayed in a technical drawing style.",4.9125996,0.872575
output_images_00004/034059.png,"A stormy night scene with lightning striking down on a wet road, surrounded by fields under a dark, cloudy sky.",4.9046683,0.869945
output_images_00001/007044.png,A yellow and orange lizard with a frilled neck perched on a log.,4.9613056,0.890545
